quartier,type_bien,prix_m2,etat,surface_m2,latitude,longitude
Triangle d'Or,Appartement,17677.0,Bon état,198,33.592,-7.613
Ain Diab,Maison,18939.0,Bon état,396,33.5955,-7.684
Nassim,Appartement,12698.0,Bon état,126,33.575,-7.619
Val Fleury,Appartement,12573.0,Bon état,171,33.565,-7.637
Racine,Appartement,15534.0,Bon état,206,33.587,-7.6386
Val Fleury,Appartement,17500.0,Bon état,160,33.565,-7.637
Maarif Extension,Appartement,28846.0,Bon état,104,33.578,-7.6419
Roches Noires,Appartement,11613.0,Neuf,62,33.6001,-7.5711
Belvedere,Appartement,11111.0,Bon état,135,33.5901,-7.5939
Polo,Villa,15000.0,Bon état,620,33.584,-7.652
Sidi Maarouf,Villa,19600.0,Bon état,250,33.5433,-7.6578
Californie,Villa,14967.0,Bon état,1069,33.5731,-7.6298
Gauthier,Appartement,16601.0,Bon état,253,33.5894,-7.6323
Californie,Villa,17600.0,Bon état,250,33.5731,-7.6298
Anfa Superieur,Villa,24800.0,Bon état,2500,33.5936,-7.6623
Bourgogne Est,Appartement,18301.0,Bon état,153,33.589,-7.6113
Triangle d'Or,Appartement,18095.0,Bon état,210,33.592,-7.613
Bourgogne Est,Appartement,11562.0,Bon état,64,33.589,-7.6113
Mers Sultan,Villa,18677.0,Bon état,514,33.5921,-7.6024
Les Hopitaux,Appartement,12658.0,Bon état,158,33.584,-7.598
Val Fleury,Appartement,17089.0,Bon état,79,33.565,-7.637
Bernoussi,Maison,19388.0,Bon état,98,33.6058,-7.5341
Ain Sebaa,Appartement,10000.0,Bon état,76,33.606,-7.544
Nassim,Villa,17273.0,Bon état,220,33.575,-7.619
Les Princesses,Studio,28723.0,Bon état,47,33.582,-7.638
Ain Diab,Appartement,25455.0,Bon état,330,33.5955,-7.684
Oulfa,Maison,32653.0,Bon état,98,33.5368,-7.6572
Ferme Bretonne,Appartement,21000.0,Bon état,100,33.549,-7.5944
Bourgogne Ouest,Studio,22388.0,Bon état,67,33.5895,-7.6156
Racine,Appartement,16477.0,A renover,176,33.587,-7.6386
Californie,Appartement,13274.0,Bon état,113,33.5731,-7.6298
Ain Diab,Villa,19704.0,Recent,609,33.5955,-7.684
Ain Diab,Maison,16000.0,Recent,750,33.5955,-7.684
Racine,Appartement,17427.0,Bon état,241,33.587,-7.6386
Polo,Villa,7688.0,A renover,1170,33.584,-7.652
Palmier,Studio,15909.0,Bon état,88,33.5784,-7.625
Triangle d'Or,Appartement,20000.0,Bon état,100,33.592,-7.613
Val Fleury,Appartement,17010.0,Bon état,97,33.565,-7.637
Maarif,Appartement,16429.0,Bon état,140,33.578,-7.63
Les Princesses,Appartement,17949.0,Bon état,117,33.582,-7.638
Triangle d'Or,Appartement,17333.0,Bon état,150,33.592,-7.613
Maarif,Appartement,14231.0,Bon état,130,33.578,-7.63
Sidi Maarouf,Appartement,7887.0,Bon état,71,33.5433,-7.6578
Palmier,Appartement,12487.0,Recent,197,33.5784,-7.625
Sidi Maarouf,Appartement,11000.0,Bon état,100,33.5433,-7.6578
Gauthier,Appartement,18023.0,A renover,86,33.5894,-7.6323
Hay Hassani,Villa,20000.0,Bon état,375,33.5559,-7.6694
Ain Diab,Villa,21951.0,Bon état,410,33.5955,-7.684
Triangle d'Or,Appartement,8886.0,Bon état,332,33.592,-7.613
Gauthier,Appartement,14865.0,Bon état,148,33.5894,-7.6323
Gauthier,Appartement,17292.0,Bon état,240,33.5894,-7.6323
Mers Sultan,Appartement,11137.0,Bon état,211,33.5921,-7.6024
Gauthier,Appartement,11259.0,Bon état,266,33.5894,-7.6323
Racine,Appartement,19858.0,Recent,141,33.587,-7.6386
Ain Diab,Villa,19341.0,Recent,455,33.5955,-7.684
Oulfa,Villa,12581.0,Bon état,310,33.5368,-7.6572
Racine,Appartement,18507.0,Bon état,134,33.587,-7.6386
Belvedere,Appartement,14636.0,Bon état,110,33.5901,-7.5939
Mers Sultan,Appartement,13670.0,Bon état,109,33.5921,-7.6024
Mers Sultan,Appartement,13433.0,Bon état,134,33.5921,-7.6024
Ain Diab Extension,Appartement,27419.0,Bon état,93,33.598,-7.701
Ain Diab Extension,Appartement,26882.0,Bon état,93,33.598,-7.701
Maarif,Appartement,16800.0,Bon état,250,33.578,-7.63
Ain Diab,Appartement,27647.0,Bon état,170,33.5955,-7.684
Anfa,Appartement,28571.0,Bon état,280,33.5892,-7.6554
Ain Diab Extension,Appartement,26172.0,Bon état,128,33.598,-7.701
Beausejour,Appartement,12744.0,Bon état,106,33.591,-7.6251
Les Princesses,Appartement,12000.0,Bon état,165,33.582,-7.638
Ain Diab,Appartement,28662.0,Bon état,157,33.5955,-7.684
Californie,Villa,14967.0,Bon état,1069,33.5731,-7.6298
Salam,Villa,23333.0,A renover,450,33.5487,-7.6411
Les Princesses,Studio,15376.0,Neuf,93,33.582,-7.638
Racine,Duplex,12893.0,Bon état,318,33.587,-7.6386
Ferme Bretonne,Appartement,21000.0,Bon état,70,33.549,-7.5944
Ain Sebaa,Appartement,9813.0,Bon état,107,33.606,-7.544
Oasis,Appartement,18617.0,Bon état,94,33.564,-7.6223
Californie,Villa,27756.0,Bon état,254,33.5731,-7.6298
Ain Diab,Appartement,17500.0,Bon état,200,33.5955,-7.684
Ain Diab,Villa,15167.0,Bon état,600,33.5955,-7.684
Racine,Appartement,15217.0,Bon état,230,33.587,-7.6386
Racine,Studio,30392.0,Bon état,51,33.587,-7.6386
Oasis,Appartement,19617.0,Bon état,98,33.564,-7.6223
Les Hopitaux,Appartement,8791.0,Bon état,273,33.584,-7.598
Racine,Appartement,19583.0,Bon état,120,33.587,-7.6386
Californie,Villa,14286.0,Bon état,1400,33.5731,-7.6298
Les Hopitaux,Studio,18537.0,Bon état,41,33.584,-7.598
Maarif Extension,Appartement,13000.0,Bon état,100,33.578,-7.6419
Ain Diab,Appartement,10000.0,Bon état,75,33.5955,-7.684
Racine,Studio,29535.0,Bon état,43,33.587,-7.6386
Racine,Appartement,18029.0,Bon état,208,33.587,-7.6386
Gauthier,Appartement,15541.0,Bon état,148,33.5894,-7.6323
Val Fleury,Appartement,11966.0,Bon état,234,33.565,-7.637
Maarif Extension,Appartement,9000.0,Bon état,250,33.578,-7.6419
Ain Diab Extension,Villa,19643.0,Bon état,840,33.598,-7.701
Gauthier,Appartement,19722.0,Bon état,180,33.5894,-7.6323
Oulfa,Appartement,9175.0,Bon état,97,33.5368,-7.6572
Sidi Maarouf,Appartement,9195.0,Bon état,87,33.5433,-7.6578
Sidi Maarouf,Villa,8778.0,Bon état,450,33.5433,-7.6578
Bourgogne Ouest,Appartement,16791.0,Bon état,134,33.5895,-7.6156
Anfa,Appartement,16484.0,Bon état,91,33.5892,-7.6554
Gauthier,Appartement,15217.0,Bon état,184,33.5894,-7.6323
Mers Sultan,Appartement,10667.0,Bon état,150,33.5921,-7.6024
Bourgogne Ouest,Appartement,19583.0,Recent,120,33.5895,-7.6156
Gauthier,Appartement,17959.0,Bon état,245,33.5894,-7.6323
Anfa,Appartement,12371.0,Bon état,97,33.5892,-7.6554
Racine,Appartement,20088.0,Bon état,114,33.587,-7.6386
Oulfa,Appartement,7407.0,Bon état,54,33.5368,-7.6572
Ain Diab,Appartement,27094.0,Bon état,203,33.5955,-7.684
Maarif,Appartement,15000.0,Bon état,118,33.578,-7.63
Racine,Appartement,17687.0,Bon état,147,33.587,-7.6386
Ain Diab,Villa,29720.0,Bon état,286,33.5955,-7.684
Anfa,Villa,20048.0,Bon état,836,33.5892,-7.6554
Californie,Appartement,17339.0,Neuf,124,33.5731,-7.6298
Val Fleury,Appartement,12766.0,Bon état,188,33.565,-7.637
Val Fleury,Appartement,13333.0,Bon état,165,33.565,-7.637
Oasis,Appartement,21000.0,Bon état,130,33.564,-7.6223
Palmier,Studio,25624.0,Bon état,49,33.5784,-7.625
Ferme Bretonne,Appartement,18900.0,Bon état,209,33.549,-7.5944
Oasis,Appartement,15049.0,Bon état,103,33.564,-7.6223
Oasis,Appartement,15278.0,Bon état,108,33.564,-7.6223
Oasis,Appartement,17982.0,Neuf,109,33.564,-7.6223
Les Princesses,Studio,37500.0,Neuf,30,33.582,-7.638
Les Princesses,Appartement,27612.0,Neuf,67,33.582,-7.638
Oasis,Appartement,18367.0,Neuf,98,33.564,-7.6223
Maarif,Appartement,11616.0,Bon état,396,33.578,-7.63
Les Hopitaux,Appartement,26038.0,Bon état,53,33.584,-7.598
Les Hopitaux,Studio,25000.0,Bon état,32,33.584,-7.598
Maarif Extension,Appartement,11724.0,Bon état,145,33.578,-7.6419
Val Fleury,Appartement,8657.0,Bon état,335,33.565,-7.637
Oasis,Appartement,21000.0,Bon état,147,33.564,-7.6223
Maarif Extension,Appartement,14000.0,Bon état,127,33.578,-7.6419
Anfa,Appartement,21341.0,Bon état,82,33.5892,-7.6554
Les Princesses,Appartement,14935.0,Bon état,77,33.582,-7.638
Val Fleury,Appartement,13366.0,Bon état,101,33.565,-7.637
Californie,Villa,13855.0,Neuf,400,33.5731,-7.6298
Oulfa,Studio,7805.0,Recent,41,33.5368,-7.6572
Californie,Villa,35714.0,Bon état,700,33.5731,-7.6298
Val Fleury,Appartement,14014.0,Bon état,142,33.565,-7.637
Racine,Appartement,18702.0,Bon état,131,33.587,-7.6386
Racine,Duplex,23193.0,Neuf,166,33.587,-7.6386
Gauthier,Appartement,17797.0,Neuf,236,33.5894,-7.6323
Gauthier,Appartement,15569.0,Bon état,167,33.5894,-7.6323
Palmier,Duplex,16765.0,Bon état,340,33.5784,-7.625
Bourgogne Ouest,Appartement,11455.0,Bon état,110,33.5895,-7.6156
Racine,Appartement,13201.0,Bon état,553,33.587,-7.6386
Ferme Bretonne,Appartement,21961.0,Bon état,56,33.549,-7.5944
Beausejour,Appartement,12938.0,Bon état,97,33.591,-7.6251
Gauthier,Appartement,13764.0,Bon état,89,33.5894,-7.6323
Les Hopitaux,Appartement,19355.0,Recent,93,33.584,-7.598
Maarif Extension,Appartement,15964.0,Bon état,83,33.578,-7.6419
Mers Sultan,Appartement,11009.0,Bon état,109,33.5921,-7.6024
Gauthier,Appartement,16129.0,Bon état,217,33.5894,-7.6323
Gauthier,Appartement,17194.0,Neuf,253,33.5894,-7.6323
Californie,Appartement,9343.0,Bon état,137,33.5731,-7.6298
Racine,Appartement,19748.0,Bon état,119,33.587,-7.6386
Palmier,Appartement,16667.0,Bon état,141,33.5784,-7.625
Roches Noires,Appartement,9690.0,Bon état,129,33.6001,-7.5711
Bourgogne Ouest,Appartement,16058.0,Bon état,137,33.5895,-7.6156
Californie,Appartement,16531.0,Bon état,98,33.5731,-7.6298
Gauthier,Appartement,16162.0,Bon état,198,33.5894,-7.6323
Maarif Extension,Appartement,11184.0,Bon état,152,33.578,-7.6419
Triangle d'Or,Appartement,22000.0,Bon état,175,33.592,-7.613
Les Hopitaux,Appartement,13500.0,Bon état,148,33.584,-7.598
Ain Diab,Appartement,29101.0,Bon état,189,33.5955,-7.684
Mers Sultan,Duplex,10610.0,Bon état,377,33.5921,-7.6024
Les Princesses,Studio,15823.0,Bon état,79,33.582,-7.638
Palmier,Appartement,15000.0,Bon état,240,33.5784,-7.625
Californie,Villa,13182.0,Bon état,1100,33.5731,-7.6298
Maarif,Appartement,25373.0,Bon état,134,33.578,-7.63
Gauthier,Appartement,20000.0,Bon état,150,33.5894,-7.6323
Anfa,Appartement,17500.0,Bon état,200,33.5892,-7.6554
Les Hopitaux,Studio,24800.0,Bon état,50,33.584,-7.598
Sidi Moumen,Appartement,9444.0,Bon état,72,33.5895,-7.5178
Californie,Villa,12609.0,Bon état,1150,33.5731,-7.6298
Oulfa,Appartement,10000.0,Bon état,63,33.5368,-7.6572
Racine,Duplex,12082.0,Bon état,538,33.587,-7.6386
Californie,Appartement,15000.0,Neuf,112,33.5731,-7.6298
Maarif,Appartement,15588.0,Bon état,68,33.578,-7.63
Bernoussi,Appartement,9286.0,Bon état,84,33.6058,-7.5341
Anfa,Appartement,15132.0,Bon état,152,33.5892,-7.6554
Mers Sultan,Appartement,11500.0,Bon état,102,33.5921,-7.6024
Ain Sebaa,Appartement,9887.0,Bon état,177,33.606,-7.544
Californie,Appartement,12131.0,Neuf,122,33.5731,-7.6298
Racine,Appartement,20000.0,A renover,160,33.587,-7.6386
Palmier,Studio,25000.0,Neuf,39,33.5784,-7.625
Palmier,Appartement,20652.0,Neuf,92,33.5784,-7.625
Oasis,Appartement,20652.0,Neuf,92,33.564,-7.6223
Racine,Appartement,21202.0,Recent,183,33.587,-7.6386
Bourgogne Ouest,Studio,30000.0,Bon état,28,33.5895,-7.6156
Bourgogne Ouest,Studio,26596.0,Bon état,47,33.5895,-7.6156
Bourgogne Ouest,Studio,29750.0,Bon état,40,33.5895,-7.6156
Mers Sultan,Appartement,15385.0,Bon état,117,33.5921,-7.6024
Les Hopitaux,Appartement,11468.0,Bon état,109,33.584,-7.598
Ferme Bretonne,Appartement,20833.0,Bon état,72,33.549,-7.5944
Ain Diab,Appartement,24123.0,Bon état,114,33.5955,-7.684
Les Princesses,Appartement,15341.0,Recent,88,33.582,-7.638
Gauthier,Duplex,12255.0,Bon état,408,33.5894,-7.6323
Ain Diab,Appartement,9146.0,Bon état,185,33.5955,-7.684
Ain Diab,Appartement,27647.0,Bon état,170,33.5955,-7.684
Beausejour,Appartement,14583.0,Bon état,48,33.591,-7.6251
Nassim,Duplex,7500.0,Bon état,100,33.575,-7.619
Oulfa,Appartement,7989.0,Bon état,174,33.5368,-7.6572
Palmier,Appartement,15873.0,Bon état,126,33.5784,-7.625
Sidi Moumen,Appartement,5702.0,Bon état,114,33.5895,-7.5178
Californie,Appartement,16038.0,Bon état,106,33.5731,-7.6298
Palmier,Appartement,15625.0,Recent,256,33.5784,-7.625
Ferme Bretonne,Appartement,19492.0,Bon état,122,33.549,-7.5944
Ferme Bretonne,Appartement,18000.0,Bon état,86,33.549,-7.5944
Les Hopitaux,Appartement,12941.0,A renover,85,33.584,-7.598
Maarif,Appartement,23121.0,Bon état,173,33.578,-7.63
Belvedere,Appartement,10476.0,Bon état,105,33.5901,-7.5939
Oasis,Villa,15000.0,Recent,600,33.564,-7.6223
Roches Noires,Appartement,10000.0,Bon état,144,33.6001,-7.5711
Californie,Appartement,20860.0,Neuf,93,33.5731,-7.6298
Gauthier,Appartement,15500.0,Bon état,200,33.5894,-7.6323
Racine,Appartement,18333.0,Bon état,120,33.587,-7.6386
Maarif,Studio,21333.0,Bon état,45,33.578,-7.63
Bourgogne Ouest,Appartement,24400.0,Neuf,50,33.5895,-7.6156
Anfa,Appartement,9426.0,Bon état,244,33.5892,-7.6554
Californie,Villa,30850.0,Bon état,1000,33.5731,-7.6298
Anfa Superieur,Villa,37500.0,Bon état,800,33.5936,-7.6623
Val Fleury,Appartement,17917.0,Bon état,120,33.565,-7.637
Bourgogne Ouest,Appartement,18889.0,Neuf,90,33.5895,-7.6156
Anfa,Appartement,10000.0,Bon état,92,33.5892,-7.6554
Bourgogne Ouest,Appartement,24000.0,Bon état,100,33.5895,-7.6156
Racine,Appartement,18229.0,Bon état,192,33.587,-7.6386
Sidi Moumen,Maison,8070.0,Bon état,57,33.5895,-7.5178
Californie,Villa,10743.0,Bon état,1117,33.5731,-7.6298
Californie,Appartement,19853.0,Bon état,136,33.5731,-7.6298
Les Hopitaux,Appartement,16058.0,Bon état,137,33.584,-7.598
Racine,Appartement,17000.0,Bon état,200,33.587,-7.6386
Mers Sultan,Appartement,14444.0,Bon état,90,33.5921,-7.6024
Racine,Appartement,16810.0,Bon état,116,33.587,-7.6386
Val Fleury,Appartement,12288.0,Bon état,118,33.565,-7.637
Maarif Extension,Appartement,17514.0,Recent,177,33.578,-7.6419
Val Fleury,Appartement,15812.0,Recent,117,33.565,-7.637
Racine,Duplex,12208.0,Bon état,729,33.587,-7.6386
Les Hopitaux,Appartement,14000.0,Recent,150,33.584,-7.598
Mers Sultan,Appartement,12326.0,Bon état,129,33.5921,-7.6024
Californie,Villa,16778.0,Bon état,450,33.5731,-7.6298
Racine,Appartement,20000.0,Bon état,100,33.587,-7.6386
Ain Diab,Villa,28662.0,Bon état,157,33.5955,-7.684
Oulfa,Appartement,14824.0,Bon état,85,33.5368,-7.6572
Triangle d'Or,Appartement,22571.0,A renover,175,33.592,-7.613
Maarif,Studio,13818.0,Bon état,55,33.578,-7.63
Sidi Moumen,Appartement,5676.0,Recent,74,33.5895,-7.5178
Racine,Appartement,20000.0,Bon état,190,33.587,-7.6386
Racine,Studio,27660.0,Bon état,47,33.587,-7.6386
Les Hopitaux,Appartement,15232.0,Bon état,151,33.584,-7.598
Ain Diab,Villa,29365.0,Recent,315,33.5955,-7.684
Maarif Extension,Appartement,15125.0,Bon état,152,33.578,-7.6419
Bernoussi,Appartement,8056.0,Bon état,108,33.6058,-7.5341
Californie,Villa,12389.0,Bon état,1130,33.5731,-7.6298
Anfa,Villa,16774.0,Bon état,1550,33.5892,-7.6554
Californie,Villa,12073.0,Bon état,820,33.5731,-7.6298
Les Hopitaux,Appartement,12500.0,Bon état,168,33.584,-7.598
Racine,Appartement,21579.0,Bon état,190,33.587,-7.6386
Ferme Bretonne,Appartement,18426.0,Bon état,108,33.549,-7.5944
Triangle d'Or,Appartement,18929.0,Bon état,280,33.592,-7.613
Les Princesses,Appartement,15566.0,Bon état,106,33.582,-7.638
Maarif Extension,Appartement,11811.0,Bon état,254,33.578,-7.6419
Les Princesses,Studio,13298.0,Bon état,94,33.582,-7.638
Gauthier,Appartement,16522.0,Bon état,115,33.5894,-7.6323
Racine,Appartement,17000.0,Bon état,200,33.587,-7.6386
Palmier,Appartement,14483.0,Bon état,145,33.5784,-7.625
Gauthier,Appartement,14796.0,Bon état,196,33.5894,-7.6323
Beausejour,Appartement,14583.0,Bon état,144,33.591,-7.6251
Maarif,Appartement,13983.0,Bon état,236,33.578,-7.63
Gauthier,Appartement,17290.0,Bon état,214,33.5894,-7.6323
Les Hopitaux,Appartement,9475.0,Bon état,438,33.584,-7.598
Californie,Villa,29800.0,Bon état,500,33.5731,-7.6298
Oasis,Appartement,21977.0,Neuf,86,33.564,-7.6223
Polo,Villa,12165.0,A renover,411,33.584,-7.652
Oulfa,Maison,9524.0,Bon état,420,33.5368,-7.6572
Gauthier,Appartement,17892.0,Bon état,223,33.5894,-7.6323
Californie,Villa,18776.0,Bon état,490,33.5731,-7.6298
Bourgogne Ouest,Appartement,19900.0,Bon état,100,33.5895,-7.6156
Gauthier,Appartement,13713.0,Bon état,167,33.5894,-7.6323
Bourgogne Est,Studio,31778.0,Bon état,45,33.589,-7.6113
Bourgogne Ouest,Appartement,16125.0,Bon état,80,33.5895,-7.6156
Les Hopitaux,Appartement,12016.0,Bon état,124,33.584,-7.598
Ain Diab,Villa,23501.0,Bon état,417,33.5955,-7.684
Bourgogne Ouest,Appartement,17935.0,Recent,92,33.5895,-7.6156
Bourgogne Est,Studio,30952.0,Bon état,42,33.589,-7.6113
Les Hopitaux,Appartement,13226.0,Neuf,155,33.584,-7.598
Californie,Villa,20031.0,Recent,649,33.5731,-7.6298
Les Hopitaux,Appartement,21239.0,Bon état,113,33.584,-7.598
Gauthier,Appartement,17127.0,Bon état,181,33.5894,-7.6323
Californie,Appartement,12188.0,Bon état,64,33.5731,-7.6298
Maarif,Appartement,23684.0,Bon état,190,33.578,-7.63
Anfa Superieur,Villa,20000.0,Bon état,2100,33.5936,-7.6623
Les Princesses,Appartement,17143.0,Bon état,105,33.582,-7.638
Californie,Villa,19444.0,Bon état,1800,33.5731,-7.6298
Racine,Appartement,18408.0,Bon état,201,33.587,-7.6386
Maarif Extension,Appartement,16116.0,Neuf,121,33.578,-7.6419
Racine,Appartement,17969.0,Bon état,128,33.587,-7.6386
Salam,Villa,26000.0,Bon état,500,33.5487,-7.6411
Ain Sebaa,Appartement,10800.0,Neuf,80,33.606,-7.544
Les Hopitaux,Appartement,12500.0,Bon état,136,33.584,-7.598
Ain Diab,Villa,20000.0,Bon état,2000,33.5955,-7.684
Hay Hassani,Appartement,10870.0,Bon état,69,33.5559,-7.6694
Sidi Maarouf,Villa,14000.0,Neuf,400,33.5433,-7.6578
Sidi Moumen,Appartement,8333.0,Recent,66,33.5895,-7.5178
Les Princesses,Appartement,13983.0,Recent,118,33.582,-7.638
Sidi Maarouf,Appartement,5000.0,Bon état,600,33.5433,-7.6578
Californie,Appartement,13636.0,Neuf,99,33.5731,-7.6298
Sidi Maarouf,Appartement,12162.0,Bon état,111,33.5433,-7.6578
Oulfa,Appartement,9167.0,Bon état,120,33.5368,-7.6572
Bourgogne Ouest,Appartement,100000.0,Recent,120,33.5895,-7.6156
Les Hopitaux,Appartement,14463.0,Bon état,121,33.584,-7.598
Oulfa,Appartement,12963.0,Bon état,162,33.5368,-7.6572
Bourgogne Est,Studio,20000.0,Bon état,55,33.589,-7.6113
Gauthier,Appartement,18085.0,Bon état,188,33.5894,-7.6323
Racine,Appartement,17333.0,Bon état,225,33.587,-7.6386
Racine,Appartement,19171.0,Bon état,193,33.587,-7.6386
Ain Diab,Villa,29930.0,Bon état,284,33.5955,-7.684
Californie,Villa,70000.0,Bon état,500,33.5731,-7.6298
Val Fleury,Appartement,16026.0,Bon état,156,33.565,-7.637
Maarif,Appartement,9333.0,Bon état,150,33.578,-7.63
Salam,Appartement,16912.0,Bon état,136,33.5487,-7.6411
Triangle d'Or,Appartement,29091.0,Bon état,55,33.592,-7.613
Les Hopitaux,Appartement,14530.0,Bon état,117,33.584,-7.598
Oasis,Studio,26341.0,Bon état,41,33.564,-7.6223
Ain Diab,Villa,17200.0,Bon état,500,33.5955,-7.684
Mers Sultan,Appartement,12000.0,Recent,125,33.5921,-7.6024
Mers Sultan,Appartement,11538.0,Recent,130,33.5921,-7.6024
Californie,Villa,20000.0,Recent,650,33.5731,-7.6298
Ain Diab,Appartement,13869.0,Bon état,137,33.5955,-7.684
Les Hopitaux,Appartement,23077.0,Neuf,52,33.584,-7.598
Palmier,Appartement,16129.0,Bon état,93,33.5784,-7.625
Ain Diab Extension,Villa,15559.0,Bon état,707,33.598,-7.701
Racine,Appartement,16279.0,Bon état,258,33.587,-7.6386
Palmier,Appartement,16102.0,Neuf,118,33.5784,-7.625
Oasis,Appartement,21164.0,Bon état,146,33.564,-7.6223
Oasis,Appartement,16607.0,Bon état,112,33.564,-7.6223
Californie,Villa,33333.0,Bon état,600,33.5731,-7.6298
Polo,Villa,10684.0,Bon état,1170,33.584,-7.652
Oasis,Appartement,26047.0,Recent,43,33.564,-7.6223
Racine,Appartement,20231.0,Bon état,173,33.587,-7.6386
Les Hopitaux,Duplex,15966.0,Bon état,119,33.584,-7.598
Racine,Appartement,19307.0,Bon état,202,33.587,-7.6386
Nassim,Appartement,10822.0,Bon état,73,33.575,-7.619
Sidi Maarouf,Appartement,11667.0,Bon état,60,33.5433,-7.6578
Oulfa,Appartement,7167.0,Neuf,60,33.5368,-7.6572
Maarif,Appartement,15294.0,Bon état,85,33.578,-7.63
Les Hopitaux,Studio,26354.0,Neuf,48,33.584,-7.598
Les Hopitaux,Studio,26038.0,Neuf,53,33.584,-7.598
Ferme Bretonne,Studio,24000.0,Neuf,44,33.549,-7.5944
Oasis,Appartement,21231.0,Neuf,130,33.564,-7.6223
Californie,Villa,21739.0,Bon état,1012,33.5731,-7.6298
Les Hopitaux,Duplex,9962.0,Bon état,261,33.584,-7.598
Ferme Bretonne,Studio,30233.0,Bon état,43,33.549,-7.5944
Les Hopitaux,Appartement,12612.0,Recent,134,33.584,-7.598
Ain Diab,Villa,22917.0,Bon état,480,33.5955,-7.684
Ain Diab Extension,Villa,18000.0,Bon état,500,33.598,-7.701
Sidi Maarouf,Villa,12338.0,Bon état,616,33.5433,-7.6578
Les Princesses,Appartement,13725.0,Bon état,153,33.582,-7.638
Maarif,Appartement,13182.0,Bon état,88,33.578,-7.63
Mers Sultan,Appartement,15169.0,Recent,89,33.5921,-7.6024
Palmier,Appartement,23750.0,Neuf,56,33.5784,-7.625
Sidi Moumen,Appartement,6800.0,Recent,50,33.5895,-7.5178
Sidi Maarouf,Maison,19643.0,Bon état,280,33.5433,-7.6578
Ain Sebaa,Appartement,12000.0,Recent,69,33.606,-7.544
Maarif Extension,Appartement,9945.0,Bon état,181,33.578,-7.6419
Gauthier,Appartement,18378.0,Recent,185,33.5894,-7.6323
Maarif Extension,Appartement,15474.0,Bon état,116,33.578,-7.6419
Palmier,Appartement,15734.0,Bon état,143,33.5784,-7.625
Sidi Maarouf,Villa,8667.0,Bon état,450,33.5433,-7.6578
Maarif Extension,Appartement,14433.0,Bon état,97,33.578,-7.6419
Racine,Appartement,15306.0,Bon état,294,33.587,-7.6386
Bourgogne Ouest,Appartement,13826.0,Bon état,115,33.5895,-7.6156
Gauthier,Appartement,21081.0,Bon état,185,33.5894,-7.6323
Oulfa,Appartement,23333.0,Recent,42,33.5368,-7.6572
Palmier,Appartement,16000.0,Bon état,100,33.5784,-7.625
Californie,Villa,20375.0,Bon état,400,33.5731,-7.6298
Maarif,Appartement,13194.0,Neuf,72,33.578,-7.63
Beausejour,Studio,22500.0,Bon état,60,33.591,-7.6251
Triangle d'Or,Appartement,20619.0,Bon état,194,33.592,-7.613
Maarif Extension,Appartement,13462.0,Bon état,156,33.578,-7.6419
Californie,Villa,16216.0,Bon état,1850,33.5731,-7.6298
Ain Diab,Appartement,24631.0,Bon état,203,33.5955,-7.684
Maarif,Appartement,9664.0,A renover,119,33.578,-7.63
Les Hopitaux,Studio,20000.0,Bon état,48,33.584,-7.598
Bourgogne Ouest,Appartement,17862.0,Bon état,145,33.5895,-7.6156
Ain Sebaa,Appartement,10957.0,Neuf,115,33.606,-7.544
Californie,Villa,17940.0,Recent,602,33.5731,-7.6298
Les Princesses,Appartement,23457.0,Bon état,81,33.582,-7.638
Roches Noires,Studio,15417.0,Bon état,48,33.6001,-7.5711
Les Hopitaux,Appartement,13333.0,Recent,150,33.584,-7.598
Bourgogne Est,Appartement,13284.0,Neuf,134,33.589,-7.6113
Ferme Bretonne,Appartement,21938.0,Bon état,160,33.549,-7.5944
Racine,Appartement,19348.0,Bon état,230,33.587,-7.6386
Hay Hassani,Appartement,13333.0,Bon état,60,33.5559,-7.6694
Hay Hassani,Maison,19444.0,Bon état,72,33.5559,-7.6694
Les Hopitaux,Appartement,12438.0,Bon état,201,33.584,-7.598
Anfa,Villa,31731.0,Bon état,520,33.5892,-7.6554
Racine,Appartement,16871.0,Bon état,163,33.587,-7.6386
Belvedere,Appartement,12245.0,Recent,98,33.5901,-7.5939
Californie,Villa,15714.0,Bon état,700,33.5731,-7.6298
Ain Diab Extension,Appartement,20741.0,Neuf,135,33.598,-7.701
Ain Diab Extension,Appartement,25500.0,Recent,200,33.598,-7.701
Oasis,Villa,20000.0,A renover,271,33.564,-7.6223
Les Hopitaux,Appartement,14583.0,Recent,240,33.584,-7.598
Ain Sebaa,Appartement,11538.0,Bon état,91,33.606,-7.544
Bernoussi,Appartement,4333.0,Bon état,120,33.6058,-7.5341
Californie,Appartement,15854.0,Bon état,82,33.5731,-7.6298
Les Princesses,Appartement,21111.0,Neuf,81,33.582,-7.638
Roches Noires,Appartement,10000.0,Recent,85,33.59962319677116,-7.586803961519761
Mandarouna,Appartement,16513.76146788991,Recent,109,33.53483741341599,-7.605712029290005
Hopitaux,Appartement,14765.10067114094,Recent,149,33.57032644592179,-7.614574441722198
Sidi Moumen,Appartement,8769.23076923077,Recent,65,33.59115860482696,-7.515696173026762
Hay Hassani,Appartement,8606.557377049181,Recent,122,33.56924485888122,-7.670736563892087
Hopitaux,Appartement,9459.45945945946,Recent,259,33.58144529531016,-7.616786159086151
Hopitaux,Appartement,8974.358974358975,Recent,273,33.57981317775509,-7.617956740441102
